name	length	score	pvalue
S2C21043	2386	0.785508406925593	0.0478734005660302
S2C21081	5818	0.999391033132345	0
S2C21142	2281	0.340492276871561	0.247538565791047
S2C21562	10864	0.793196557454029	0.0295901042929905
S2C21665	67854	0.930615815657974	0.00970167353868542
S2C21845	2187	0.671246912181204	0.0841471678558616
S2C21864	97446	0.982963540302779	0.0033955857385399
S2C21875	3598	0.0153641627273227	0.660320155226777
S2C21912	4149	0.998337821416525	0.000485083676934271
S2C22229	4447	0.0901056302517719	0.354111084162018
S2C22230	2278	0.391383628792278	0.213218001355284
S2C22320	3922	0.978324263593648	0.0037593984962406
S2C22619	6228	0.985364926357292	0.00291050206160563
S2C22636	2349	0.993880992707294	0.000159445130944314
S2C22844	3944	0.974841111226418	0.00424448217317487
S2C22940	3538	0.995075443622383	0.00133398011156925
S2C22995	6551	0.860909858634294	0.019645888915838
S2C23049	2351	0.569161906596428	0.12492526009487
S2C23198	2737	0.182762238641498	0.403595487702794
S2C23233	2954	0.748742510078821	0.059433172559493
S2C23425	24371	0.977841225130074	0.0037593984962406
S2C23611	2900	0.679435764197184	0.0809184039542392
S2C23624	2189	0.163719527670407	0.431299079204369
S2C23677	2684	0.732080608469257	0.0654123649699047
S2C23704	2147	0.490997882429686	0.159923466337147
S2C23720	9357	0.972198442938395	0.00472956585010914
S2C23880	2324	0.653434433000006	0.0901263602662734
S2C23903	4163	0.980964510075244	0.00363812757700703
S2C24019	2933	0.831347139271228	0.0352373739386933
S2C24036	35807	0.954384640618761	0.00666990055784623
S2C24098	3544	0.382502920003015	0.126243026922144
S2C24251	27414	0.893861035063052	0.0140674266310939
S2C24271	10313	0.930838907870783	0.00970167353868542
S2C24285	71677	0.986547348100996	0.00278923114237206
S2C24480	13636	0.837171359343328	0.0234052874120786
S2C24502	2025	0.662554154464057	0.0873360704747479
S2C24713	2148	0.312951805619212	0.269143381034002
S2C24723	7918	0.998156311539384	0.000485083676934271
S2C24853	6487	0.992632255380677	0.00194033470773708
S2C24941	2667	0.980677454304746	0.00115597719934628
S2C25232	6241	0.697354572161626	0.0464467620664565
S2C25599	9420	0.803304656706232	0.0283773951006549
S2C25735	3707	0.85463517000172	0.0207373271889401
S2C25751	2323	0.849382943429407	0.0298561007693228
S2C25907	2963	0.618510174664892	0.104197393072109
S2C25982	2495	0.777909486651355	0.0504245226611392
S2C26536	2103	0.578852676683634	0.120939131821262
S2C26662	6511	0.581756145257757	0.0694882367208343
S2C26836	4091	0.713852375045383	0.0431724472471501
S2C26905	131682	0.642540860912876	0.0571186029590104
S2C27375	35063	0.98315673265164	0.0033955857385399
S2C27587	4168	0.998517805235425	0.000485083676934271
S2C28110	2090	0.998508219378126	3.98612827360784e-05
S2C28159	2041	0.0779293679131337	0.595407980228804
S2C28312	54772	0.985524555870383	0.00278923114237206
S2C28385	4027	0.78329608804384	0.0310453553237934
S2C28390	97355	0.959728041625532	0.00642735871937909
S2C28518	3271	0.791282675008984	0.0300751879699248
S2C28695	15365	0.724435640644019	0.0411108416201795
S2C28800	4850	0.837173819410893	0.0234052874120786
S2C29034	2914	0.410942849251154	0.201578506796349
S2C29121	6386	0.984403164877747	0.00315304390007276
S2C29398	2650	0.721496179043436	0.0682425160441663
S2C30097	2231	0.704297467477395	0.0733447602343843
S2C30335	4500	0.539181899054756	0.0790686393402862
S2C30446	2009	0.716291109387089	0.0697971060708734
S2C30447	6856	0.980283153033631	0.00363812757700703
